id	name	sort_name	biography	show
iw-payne	I.W. Payne	I.W. Payne		y
salomon-garcon	Solomon Garçon	Solomon Garçon	Exhibitions\n\nStedelijk, Amsterdam\nManosphere (group)\nApril – May 2026\n\nKunstverein für die Rheinlande und Westfalen, Düsseldorf\nClosing act\n8 – 15 March 2026\nhttps://kunstverein-duesseldorf.de/ausstellungen/bravo/\n\n243Luz at Liste, Basel\nsolo presentation\n15 June – 21 June 2025\n\nRaven Row, UK\nFake Barn Country (group)\n8 May – 6 July 2025\nhttps://ravenrow.org/exhibitions/fake-barn-country\n\nGalerie Buchholz, NY\nan exhibition organized by Samuel Hindolo (group)\n14 March – 17 May 2025\n\n243Luz, Margate, UK\nsunset beach (solo)\n6 October – 10 November 2024\nhttps://www.243luz.com/solomongarçon\n\nTetro Grottesco at Basel Social Club, CH\nMug & zeusnetwork (solo)\n6 June – 16 June 2024\n\nStudio Voltaire, London\nARMS (solo)\n4 October 2022 – 14 January 2024\n\nArcadia Missa x 243Luz\nonline viewing (group)\nuntitled (roof)\nDec 2023\n\nGalerie Buchholz (Fasanenstr. 31 space), Berlin\nsolomon's knock (collaboration with Samuel Hindolo)\n28 April – 17 June 2023\n\nRose Easton, London\nSNITCH (solo)\n7 October – 5 November 2022\n\nAuto Italia, London\nWords Fail Me\nApril 2018\nsound installation in collaboration with artist Adam Gallagher\n\nPerformances\n\nRaven Row, UK (Jaguar Shoes)\nJog Mode, 2025\nCollaboration with Adam Gallagher\n\nVolksbuehne (Roter Salon)\nDO U WANT TO MOVE BACK TO LDN\ncollaboration with John T. Gast\n\nHaus der Kunst, Munich\nAnansi's Web – Dimanche\ncollaboration with Nelta Kasparian\n1 February 2025\n\nGrants\n\nArts Council – Developing Your Own Creative Practice November 2020 (£10k)\nArts Council – National Lottery Project grant 2021 (£15k)\nArts Council – National Lottery Project grant 2023 (£23k)\nLOEWE FOUNDATION / Studio Voltaire Award September 2021\n\nEducation\n\nUniversity of the Arts London\n2010 – 2014 BA Art Direction\nBachelors degree 2:1	y
lizzy-deacon	Lizzy Deacon	Lizzy Deacon		y
juliette-lena-hager	Juliette Lena Hager	Juliette Lena Hager		y
